[1, 2, 3, 4, 5, 10, 11, 13, 14, 17, 18, 20, 23, 24, 25],
[1, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 19, 20, 22, 24],
[1, 3, 5, 10, 11, 13, 14, 15, 18, 19, 20, 22, 23, 24, 25],
[1, 3, 4, 9, 10, 11, 12, 14, 15, 17, 19, 20, 23, 24, 25],
[1, 3, 5, 10, 11, 12, 14, 15, 17, 18, 19, 20, 22, 24, 25],
[1, 3, 5, 10, 11, 13, 14, 15, 17, 18, 20, 22, 23, 24, 25],
[1, 2, 3, 5, 10, 11, 13, 14, 15, 18, 19, 20, 22, 24, 25],
[1, 2, 3, 4, 9, 10, 11, 13, 14, 17, 19, 20, 23, 24, 25],
[1, 2, 3, 5, 10, 11, 12, 13, 17, 18, 20, 22, 23, 24, 25],
[1, 2, 3, 4, 10, 11, 12, 13, 14, 17, 18, 20, 23, 24, 25],
[1, 3, 4, 9, 10, 11, 13, 14, 15, 17, 19, 20, 22, 23, 24],
[1, 2, 3, 5, 10, 11, 12, 13, 15, 18, 19, 20, 23, 24, 25],
[1, 2, 3, 4, 9, 10, 11, 12, 13, 14, 17, 20, 23, 24, 25],
[1, 2, 3, 5, 8, 11, 13, 14, 15, 17, 18, 20, 22, 23, 24],
[1, 3, 4, 9, 10, 11, 12, 14, 17, 19, 20, 21, 23, 24, 25],
[1, 3, 6, 9, 10, 11, 13, 14, 15, 17, 20, 21, 22, 24, 25],
